Reporting ID,Data Year,MapLot,BEUDO Category,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2)
B1314,2019,100-68,Non-Residential,Hotel,Hotel (105000.0),105000,,777 MEMORIAL OWNER LP,C/O MARVIN F. POER & CO,,,,,,,,,,,,,,,,,,,,,,,,
B1315,2019,14-26,Non-Residential,Office,"Office (41857.0),Parking (3000.0)",41857,,MIT 139 MAIN ST FEE OWNER LLC,C/O MIT INVESTMENT MGMT CO,69,395088.6,1348042.5,16370.7,1637070.6,,,,,,,,,,2985113.1,3167598,71.3,75.7,5493443.2,5862317.5,131.2,140.1,175.4,4.2
B1318,2019,41-29,Non-Residential,Mixed Use Property,"Office (206166.0),Laboratory (68456.0)",246793,,"ARE-MA REGION NO.59, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
B1319,2019,41-38,Non-Residential,Office,"Office (14572.0),Other - Restaurant/Bar (12123.0)",26695,,ARE-MA REGION NO. 59 LLC,,,862273.4,2942077.2,16984.5,1698448.4,,,,,,,,,,4640525.6,4685267.3,173.8,175.5,10021187.1,10090573.4,375.4,378,283.4,10.6
B1321,2019,144-1,Non-Residential,Residence Hall/Dormitory,Residence Hall/Dormitory (8230.0),8230,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,85,44284.6,151099.2,0,0,,,,,,,,391333.9,,542433.1,563045.7,65.9,68.4,893868.6,918666.4,108.6,111.6,35.9,4.4
B1322,2019,136-2,Non-Residential,Museum,Museum (209788.0),209788,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,2182027.3,7445077.9,73063.9,7306391.7,,,,,,,6177090.5,0,,20928560.2,21277582.4,99.8,101.4,34139081.9,34505555.2,162.7,164.5,1202.4,5.7
B1323,2019,137-42,Non-Residential,Parking,Parking (143425.0),143425,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,178837,610192,,,,,,,,,,,,610192,620474.2,4.3,4.3,1708537.7,1737327.7,11.9,12.1,40.1,0.3
B1324,2019,48-129,Non-Residential,College/University,College/University (173875.0),173875,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,3155614.6,10766958.2,,,,,,,,,13036428.1,13025346.2,,36828732.5,35860372.1,211.8,206.2,57680659.3,56911221.8,331.7,327.3,2258.7,13
B1325,2019,129-47,Non-Residential,Office,Office (44041.0),44041,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,51,391052.8,1334272.5,,,,,,,,,,2964983.5,,4299256,4451635.2,97.6,101.1,7302959.9,7429593.1,165.8,168.7,284.5,6.5
B1326,2019,52A-21,Non-Residential,College/University,College/University (55046.0),55046,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,559027.9,1907403.6,,,,,,,,,1154460.1,3708563.7,,6770427.4,6713394.5,123,122,10852843.2,10840848.1,197.2,196.9,432.3,7.9
B1327,2019,52A-21,Non-Residential,College/University,College/University (160124.0),160124,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2431030.9,8294678.5,,,,,,,,,15967452,29931194.3,,54193324.8,55860763.2,338.4,348.9,73763937.8,75873071.8,460.7,473.8,3373.4,21.1
B1328,2019,208-3,Non-Residential,Office,Office (27148.0),27148,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",83,141246.6,481933.5,10491.2,1049122.6,,,,,,,,,,1531056.1,1598154.6,56.4,58.9,2450992.5,2513219.2,90.3,92.6,87.4,3.2
B1329,2019,52A-21,Non-Residential,College/University,College/University (133545.0),133545,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2346713.5,8006987.3,,,,,,,,,3517031.9,18553566.4,,30077585.7,30396034.1,225.2,227.6,47940766.4,48387335.9,359,362.3,1942.9,14.5
B1330,2019,52A-21,Non-Residential,College/University,College/University (143921.0),143921,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2185927.7,7458386.2,,,,,,,,,5903088.2,51013648.2,,64375122.6,66134922.2,447.3,459.5,87626806.8,89810449.6,608.9,624,4187.9,29.1
B1331,2019,95-75,Non-Residential,Laboratory,Laboratory (27960.0),27960,,MIT 99 ERIE LLC C/O ARE EQUITIES INC,C/O ARE-MA REGION NO. 33 LLC,,1567947.6,5349837.8,46085.1,4608506.1,,,,,,,,,,9958343.9,10158390.9,356.2,363.3,19818477.2,19991533,708.8,715,0,0
B1332,2019,52A-21,Non-Residential,College/University,College/University (75421.0),75421,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,395767,1350357,,,,,,,,,7378440,12651623.9,,21380420.8,21895110.2,283.5,290.3,25715803.4,26334995.9,341,349.2,1317.5,17.5
B1333,2019,52A-21,Non-Residential,College/University,College/University (116239.0),116239,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1760021.7,6005194.7,,,,,,,,,3734928,24782665.1,,34522787.8,35822881.2,297,308.2,50027894.3,51605132.5,430.4,444,2236.6,19.2
B1334,2019,14-1038,Non-Residential,Multifamily Housing,"Strip Mall (1052.0),Restaurant (6500.0),Multifamily Housing (147644.0)",155196,144,"TP/P KENDALL SQUARE, LLC.",,39,1311844,4476012.1,54593.4,5459338.6,,,,,,,,,,9935350.8,10028684.8,64,64.6,18265139.5,18363140.3,117.7,118.3,583.8,3.8
B1335,2019,14-1038,Non-Residential,Multifamily Housing,"Restaurant (25959.0),Multifamily Housing (340574.0)",366533,321,"TP/P KENDALL SQUARE, LLC.",,77,2408644.2,8218295.1,128216,12821599.6,,,,,,,,,,21039894.7,21410694.9,57.4,58.4,36473905.8,36863246,99.5,100.6,1220.5,3.3
B1336,2019,53-61,Non-Residential,College/University,College/University (143032.0),143032,,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,13737396,46872000.8,169,16900,,,,,,,50304085.4,105480351.9,,202673338.1,201484323.7,484.1,481.2565804,303933263,303509073.9,725.961604,724.9484046,13168.2,31.5
B1337,2019,48-129,Non-Residential,College/University,College/University (149742.0),149742,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1536307,5241880,,,,,,,,,5713836,15502896.1,,26458612.1,26091374.6,176.7,174.2,38527475.9,38270472.5,257.3,255.6,1674.6,11.2
B1338,2019,52A-31,Non-Residential,College/University,College/University (57227.0),57227,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1427892.9,4871971.1,,,,,,,,,9690743.8,15197232.4,,29759947.3,29446465.9,520,514.6,40742991,40491915.5,712,707.6,1839.6,32.1
B1339,2019,226-30,Non-Residential,Worship Facility,Worship Facility (23966.0),23966,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,,64,68998,235421.2,6238,623800,,,,,,,,,,859221.2,905055.3,35.9,37.8,1314169.3,1372183.7,54.8,57.3,48.6,2
B1340,2019,47-90,Non-Residential,College/University,College/University (30130.0),30130,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,513940.9,1753566.7,,,,,,,,,,1657271.9,,,,,,,,,,,
B1341,2019,226-30,Non-Residential,Worship Facility,Worship Facility (28590.0),28590,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,,22,114800,391697.6,21434,2143400,,,,,,,,,,2535097.7,2673874.9,88.7,93.5,3347323.4,3493039.5,117.1,122.2,139.6,4.9
B1342,2019,92-132,Non-Residential,Multifamily Housing,"Personal Services (Health/Beauty, Dry Cleaning, etc) (736.0),Other - Entertainment/Public Assembly (9167.0),Food Sales (1700.0),Multifamily Housing (21088.0)",35642,16,MIT 424-456 MASSACHUSETTS AVENUE LLC,,,531239.8,1812590.5,21060.5,2106048.3,,,,,,,,,,3918638.8,3918147.1,119.9,119.9,7286604.1,7285227.2,222.9,222.9,230.9,7.1
B1343,2019,52A-21,Non-Residential,College/University,College/University (80942.0),80942,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1226039,4183245.5,,,,,,,,,6567132.4,16448542,,27198919.8,28156730,336,347.9,37477449.8,38672160.9,463,477.8,1712.9,21.2
B1344,2019,66-12,Non-Residential,Office,Office (79500.0),79500,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,193392.2,659854.2,2942.2,294222,,,,,,,,,,954076.3,964791.1,12,12.1,2156525,2186526.6,27.1,27.5,58.9,0.7
B1345,2019,48-129,Non-Residential,College/University,College/University (83518.0),83518,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1536307,5241880,,,,,,,,,5510220,10581227.5,,21333327.6,21056453.6,255.4,252.1,32421215.8,32259682.8,388.2,386.3,1337.1,16
B1346,2019,52A-21,Non-Residential,College/University,College/University (68012.0),68012,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1117752.9,3813773.3,,,,,,,,,3245688,9868409.8,,16927871.1,17384797.7,248.9,255.6,25504243.9,26053945.4,375,383.1,1076.7,15.8
B1347,2019,52A-21,Non-Residential,College/University,College/University (26705.0),26705,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,404434,1379928.8,,,,,,,,,4595159.9,6695952.2,,12671040.9,12285783.5,474.5,460.1,16100901.9,15750317.7,602.9,589.8,777.4,29.1
B1348,2019,152-25,Non-Residential,Retail Store,"Medical Office (6360.0),Bank Branch (2383.0),Fast Food Restaurant (1942.0),Retail Store (45393.0)",56078,,"CPUS PORTER SQUARE, LP",C/O STRATEGIC PROPERTY TAX ADVISORS,90,458497.9,1564395,1281.3,128133.3,,,,,,,,,,1692528.4,1692528.4,30.2,30.2,4514846.1,4514846.1,80.5,80.5,0,0
B1349,2019,92-132,Non-Residential,Mixed Use Property,"Restaurant (11694.0),Office (4510.0),Retail Store (11697.0)",27901,,MIT 424-456 MASSACHUSETTS AVENUE LLC,,,741719.2,2530746.2,27624.3,2762432.3,,,,,,,,,,5293178.4,5353462.9,189.7,191.9,9986643.1,10049941.8,357.9,360.2,312.9,11.2
B1351,2019,Sep-61,Non-Residential,Hotel,"Hotel (153627.0),Parking (1492.0)",153627,,"CAMBRIDGE, LLC","C/O JUNSON CAPITAL, UNITS 5211-12, 52/F",14,2835377.9,9674310.6,166210,16620995.2,,,,,,,,,,26295305.8,26750924.4,171.2,174.1,44540114.8,44899941.5,289.9,292.3,1517.9,9.9
B1352,2019,160-14,Non-Residential,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient (69011.0),69011,,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,
B1353,2019,95-74,Non-Residential,Laboratory,Laboratory (26589.0),26589,,"MIT 170/171 SIDNEY LLC C/O ARE EQUITIES,",C/O ARE-MA REGION NO.23 LLC,2,528030.7,1801640.8,59681,5968100.1,,,,,,,,,,7769740.9,8065717.4,292.2,303.3,11311099.4,11621874.8,425.4,437.1,435.3,16.4
B1354,2019,159-1,Non-Residential,Worship Facility,Worship Facility (34101.2),33203,,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",16,263193.1,898014.8,,,,,,,,,345162.2,2186625.3,,3429802.3,3559868.8,80.1,83.08714669,5459139.2,5640012,127.4160159,131.6375773,230.7,5.4
B1355,2019,144-1,Non-Residential,Office,Office (57896.0),57896,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,95,147325.6,502674.9,,,,,,,,,335502.3,1801053.3,,2639230.5,2751249.9,45.6,47.5,3879538,4020401.8,67,69.4,170.3,2.9
B1356,2019,128-71,Non-Residential,Laboratory,"Office (17000.0),Laboratory (34000.0),Parking (40000.0)",51000,,MIT 770/784/790 MEMORIAL LLC,,,278893.4,951584.3,81621.6,8162164.4,,,,,,,,,,9113748.7,9440743.3,178.7,185.1,11234708.6,11578053,220.3,227,496,9.7
B1357,2019,64-6,Non-Residential,Laboratory,"Office (56436.0),Laboratory (169309.0)",225745,,MIT 640 MEMORIAL SPE LLC.,C/O MIT INVESTMENT MANAGEMENT COMP.,,6069771,20710061.1,344869.5,34486949.5,,,,,,,,,,55197010.6,55668331.2,244.5,246.6,94199467.9,93666306.1,417.3,414.9,3191.3,14.1
B1358,2019,137-2,Non-Residential,Museum,Museum (67226.2),69797,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,,,,,,,,,,,,,,,,,,,,,,,
B1359,2019,"132-137, 132-157",Non-Residential,Parking,Parking (98623.0),98623,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,225227.6,768476.7,,,,,,,,,,,,768476.7,782867,7.8,7.9,2151734.9,2192027.7,21.8,22.2,50.4,0.5
B1360,2019,157-69,Non-Residential,Parking,Parking (223000.0),223000,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,498819.4,1701972.1,,,,,,,,,,,,1701972.1,1701972.1,7.6,7.6,4765521.8,4765521.8,21.4,21.4,111.7,0.5
B1361,2019,129-47,Non-Residential,Office,Office (21767.0),21767,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,109698.4,374290.9,,,,,,,,,,,,,,,,,,,,,
B1364,2019,17-84,Non-Residential,Office,"Office (118330.0),Parking (18000.0)",118330,,AMERICAN TWINE OWNER LLC,C/O NEW ENGLAND DEVELOPMENT,64,1427344.2,4870099.1,20913.4,2091335.4,,,,,,,,,,6961434.5,7149355.5,58.8,60.4,15832179.6,16029496.6,133.8,135.5,430.8,3.6
B1365,2019,129-47,Non-Residential,Manufacturing/Industrial Plant,"Parking (19934.0),Manufacturing/Industrial Plant (24302.0)",24302,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,140056.1,477871.6,,,,,,,,,,,,477871.6,484364.3,19.7,19.9,1338040.6,1356220.1,55.1,55.8,31.4,1.3
B1366,2019,242-38,Non-Residential,K-12 School,K-12 School (2297.0),11703,,SHADY HILL SCHOOL,,1,206530.3,704681.4,6066.7,606674.2,,,,,,,,,,1311355.6,1311355.6,570.9,570.9,2610115.8,2610115.8,1136.3,1136.3,78.5,34.2
B1367,2019,242-38,Non-Residential,K-12 School,"K-12 School (11223.0),Parking (0.0)",21553,,SHADY HILL SCHOOL,,2,353663.3,1206699.3,3164.4,316438.7,,,,,,,,,,1523138,1541178.7,135.7,137.3,3711018.6,3729961.4,330.7,332.3,96,8.6
B1368,2019,43A-28,Non-Residential,Mixed Use Property,"Office (132961.0),Laboratory (44200.0)",177161,,"MIT REAL ESTATE, LLC,",,1,8852301.7,30204057,306640.6,30664057.8,,,,,,,,,,60868114.8,61723861.4,343.6,348.4,116768620.4,117336874.9,659.1,662.3,3747,21.2
B1369,2019,43A-21,Non-Residential,Mixed Use Property,"Office (168000.0),Laboratory (42000.0)",210000,,"MIT REAL ESTATE, LLC,",,1,11586753.4,39534007.4,16509.6,1650963.2,,,,,,,,30194335.7,,71379306.3,,339.9,,148753758.7,,708.4,,4687.8,22.3
B1370,2019,Nov-40,Non-Residential,Office,"Office (N/A),Data Center (N/A),Parking (138880.0)",283686,,"55 CAMBRIDGE PARKWAY, LLC",,,5906441.9,20152782.1,,,,,,,,,,,,20152782.1,20502122.8,,,56427789.8,57405944,,,1323,
B1371,2019,43A-28,Non-Residential,Mixed Use Property,"Office (132307.0),Laboratory (43302.0)",175609,,"MIT REAL ESTATE, LLC,",,1,8154269.7,27822371.5,297753.8,29775383.5,,,,,,,,,,57597755,58111599.2,328,330.9,109166792.8,108763688.2,621.6,619.4,3408,19.4
B1372,2019,43A-16,Non-Residential,Mixed Use Property,"Office (169698.0),Laboratory (42425.0)",212123,,"MIT REAL ESTATE, LLC,","C/O ARE- TECH SQ, LLC/MIT REAL ESTATE LL",1,11329898.1,38657617,229540.1,22954012.7,,,,,,,,,,61611629.6,61996102.1,290.5,292.3,132343040.8,132332821.5,623.9,623.8,3930.3,18.5
B1373,2019,41-38,Non-Residential,Office,"Office (21150.0),Laboratory (4782.0)",25932,,ARE-MA REGION NO. 59 LLC,,92,231394.7,789518.9,,,,,,,,,,,,789518.9,792112.8,30.4,30.5,2210652.8,2217915.9,85.2,85.5,51.8,2
B1374,2019,144-1,Non-Residential,Parking,Parking (246377.0),246377,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,558406,1905281.5,,,,,,,,,,,,1905281.5,1923829,7.7,7.8,5334788.3,5386721.2,21.7,21.9,125.1,0.5
B1376,2019,136-2,Non-Residential,Hotel,Hotel (39895.0),39895,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,18,614055.2,2095156.7,8503,850303.2,,,,,,,1516530.3,2844636.3,,7306626.4,7417948.9,183.1,185.9,11561513.9,11675558.6,289.8,292.7,451.5,11.3
B1377,2019,43A-21,Non-Residential,Office,"Convenience Store without Gas Station,Fast Food Restaurant,Office,Restaurant,Retail Store",127224,,"MIT REAL ESTATE, LLC,",,1,6516130.9,22233041.2,39.75,3975,,,,,,,,,,22233041.2,22233041.2,174.8,174.8,62252515.3,62252515.3,489.3,489.3,1459.5,11.5
B1378,2019,41-38,Non-Residential,Office,"Office (86016.0),Bar/Nightclub (4407.0),Other - Restaurant/Bar (5225.0),Laboratory (29633.0),Fast Food Restaurant (750.0)",126031,,ARE-MA REGION NO. 59 LLC,,,2253155.9,7687769,63.2,6316.2,,,,,,,,,,7694085.2,7694085.2,61,61,21532385.2,21532385.2,170.8,170.8,505,4
B1379,2019,41-38,Non-Residential,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym (2705.0),2705,,ARE-MA REGION NO. 59 LLC,,,24213.1,82615.2,4802,480200,,,,,,,,,,562815.2,,208.1,,735532.6,,271.9,,31.3,11.6
B1380,2019,43A-21,Non-Residential,Office,Office (48930.0),48930,,"MIT REAL ESTATE, LLC,",,36,1102223.5,3760787.1,,,,,,,,,,,,3760787.1,3760787.1,76.9,76.9,10530203.9,10530203.9,215.2,215.2,246.9,5
B1381,2019,41-38,Non-Residential,Office,"Personal Services (Health/Beauty, Dry Cleaning, etc) (320.0),Office (39958.0),Medical Office (1239.0),Other - Restaurant/Bar (4390.0),Laboratory (18257.0),Fast Food Restaurant (4861.0),Fitness Center/Health Club/Gym (2705.0)",71730,,ARE-MA REGION NO. 59 LLC,,,2794448.3,9534658.7,74767.1604,7476716,,,,,,,,,,18007934.1,18147174.6,251.1,253,37337962.4,37244628.1,520.5,519.2,1135.7,15.8
B1382,2019,46-12,Non-Residential,Office,"Office (368425.0),Parking (84120.0),Fitness Center/Health Club/Gym (1011.0)",369436,,"ONE MEMORIAL OWNER LLC,",C/O OXFORD PROPERTIES GROUP,64,7591223,25901256.1,12447.967,1244796.7,,,,,,,,,,26188449.6,27247733.5,70.9,73.8,72825070.2,73937318.1,197.1,200.1,1715.6,4.6
B1383,2019,19-Dec,Non-Residential,College/University,College/University (117919.0),117919,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"C/O HARVARD REAL ESTATE, INC.",,2213292,7551753.4,,,,,,,,,,10886893.4,,18438646.8,,156.4,,34242289.6,,290.4,,0,0
B1385,2019,185-58,Non-Residential,K-12 School,K-12 School (96508.0),96508,,ARCHDIOCESE CENTRAL HIGH SCHOOL INC.,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1386,2019,267F-301,Non-Residential,Office,"Office (107681.0),Parking (62180.0)",107681,,"Ag Fawcett, LLC",C/O Harvard Resl Estate Inc,100,2427037.8,8281053.9,6553,655300,,,,,,,,,,655300,694173.1,6.1,6.4,688065,728881.8,6.4,6.8,34.8,0.3
B1387,2019,"15-30, 15-29",Non-Residential,Office,"Office (279265.0),Bank Branch (3200.0),Laboratory (147840.0),Parking (107418.0)",430305,,MIT 300 THIRD LLC,"C/O ARE MA REGION #28,LLC",,13205043.4,45055613.6,481527.5,48152748.3,,,,,,,,7809530.4,49427,101186537.3,102737510.1,235.2,238.8,186279934.8,187908661.5,432.9,436.7,6033.9,14
B1388,2019,62-41,Non-Residential,College/University,College/University (86522.0),86522,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,2981487.5,10172836.5,18996,1899600,,,,,,,,,,12072436.5,12254539,139.5,141.6,30478522.3,30669729.9,352.3,354.5,768.7,8.9
B1389,2019,55-9,Non-Residential,College/University,College/University (144308.0),144308,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2789215.7,9516805.1,0,0,,,,,,,25506097.5,,,,,,,,,,,,
B1391,2019,62-18,Non-Residential,College/University,College/University (35748.0),35748,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,3850196.6,13136872.6,25077,2507700.1,,,,,,,,,,15644572.7,15798103.9,437.6,441.9,39416328.3,39577536.1,1102.6,1107.1,995.6,27.9
B1392,2019,57-173,Non-Residential,College/University,College/University (42146.0),42146,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,379944.9,1296372.3,0,0,,,,,,,,2273375.9,,,,,,,,,,,
B1393,2019,67-49,Non-Residential,College/University,College/University (252835.0),252835,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,2051869.8,7000980.6,3046,304600,,,,,,,6906192.2,14916642,,29128414.7,28865311.9,115.2,114.2,44152543.8,44176374.6,174.6,174.7,1830.2,7.2
B1394,2019,47-88,Non-Residential,College/University,College/University (106715.0),106715,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,950638.9,3243580.3,0,0,,,,,,,2341968,3558119.8,,9143668.1,9018853,85.7,84.5,15493780.1,15416352.6,145.2,144.5,572.6,5.4
B1396,2019,"62-42, 62-36",Non-Residential,College/University,College/University (152315.0),152315,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,987323.9,3368749.5,2008,200800,,,,,,,,13633091.9,,17202641.4,17745370.7,112.9,116.5,26044508.3,26697434,171,175.3,1137,7.5
B1397,2019,52A-21,Non-Residential,College/University,College/University (73703.0),73703,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,31,3100,,,,,,,,20293223.9,,,,,,,,,,,
B1398,2019,65-48,Non-Residential,College/University,College/University (42146.0),42146,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,213640,728939.7,19296,1929600.3,,,,,,,,,,2658539.9,2790026.1,63.1,66.2,4067111.3,4193586.1,96.5,99.5,150.3,3.6
B1399,2019,"62-42, 61-14, 61-17",Non-Residential,College/University,College/University (132006.0),132006,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,1136293.1,3877032.4,7510,751000,,,,,,,,7826670,,12454702.4,12454702.4,94.3,94.3,21060046.3,21060046.3,159.5,159.5,814.1,6.2
B1401,2019,57-173,Non-Residential,College/University,College/University (46574.0),46574,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1207199.7,4118966,,,,,,,,,,8023679.5,,12142645.5,12142645.5,260.7,260.7,21185920.9,21185920.9,454.9,454.9,803.2,17.2
B1402,2019,57-173,Non-Residential,College/University,College/University (71444.0),71444,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,1352752.8,4615592.9,1005,100500,,,,,,,,4312727.7,,9028820.7,9034222.3,126.4,126.5,18217573.9,18223245.7,255,255.1,594.7,8.3
B1404,2019,63-128,Non-Residential,College/University,"Office (0.0),College/University (26000.0)",26000,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,255216,870797,12166,1216600,,,,,,,,,,2087397,2135495.8,80.3,82.1,3715661.5,3746774.5,142.9,144.1,121.8,4.7
B1405,2019,55-18,Non-Residential,College/University,"Office (0.0),College/University (22780.0)",22780,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,340740,1162604.9,0,0,,,,,,,,,,1162604.9,1190864.7,51,52.3,3255293.7,3334421.2,142.9,146.4,76.3,3.4
B1406,2019,242B-56,Non-Residential,K-12 School,K-12 School (1766.0),1766,,SHADY HILL SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,0,0
B1407,2019,68-57,Non-Residential,College/University,College/University (45397.0),45397,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,1339631.8,4570824.2,25228,2522800,,,,,,,,,,7093624.2,7183100.1,156.3,158.2,15447247.8,15406818.7,340.3,339.4,434.1,9.6
B1409,2019,57-169,Non-Residential,College/University,College/University (183162.0),183162,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,2976820.5,10156912.8,7088,708800,,,,,,,11168627.7,14527398.1,,36561738.6,36812875.6,199.6,201,56824104,57245369,310.2,312.5,2257.6,12.3
B1410,2019,67-44,Non-Residential,College/University,College/University (362687.0),362687,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,2951239.6,10069630.7,133013,13301300.1,,,,,,,,,,23370930.9,23853097.9,64.4,65.8,42161331.2,42240138,116.2,116.5,1367.5,3.8
B1411,2019,68-56,Non-Residential,College/University,College/University (50148.0),50148,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,566019.9,1931260.2,38850,3885000.3,,,,,,,,,,5816260.5,5986455.8,116,119.4,9486778.9,9572849.9,189.2,190.9,333.1,6.6
B1412,2019,68-58,Non-Residential,College/University,College/University (50118.0),50118,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,871919.9,2974991,30701,3070100.2,,,,,,,,,,6045091.2,6205309.3,120.6,123.8,11553580,11653182.7,230.5,232.5,358.4,7.2
B1413,2019,68-59,Non-Residential,College/University,"Office (0.0),College/University (48000.0)",48000,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,514319.9,1754859.8,6740,674000.1,,,,,,,,,,2428859.9,2460885.9,50.6,51.3,5621307.6,5639968.4,117.1,117.5,151,3.1
B1414,2019,63-134,Non-Residential,Hotel,Hotel (347000.0),347000,,HRB MA HOLDINGS LLC,,28,5142600.9,17546556.2,322845.1,32284513.1,,,,,,,,,,49831069.3,51207803.3,143.6,147.6,83029096.2,84141872.2,239.3,242.5,2866.7,8.3
B1415,2019,47-84,Non-Residential,Laboratory,"Office (79965.0),Laboratory (N/A)",424430,,MIT 238 MAIN STREET FEE OWNER LLC,,37,2178899.6,7434406.4,109.8235,10982.4,,,,,,,,,,7445388.8,7445388.8,75,75,20827869.5,20827869.5,209.7,209.7,0,5.3
B1419,2019,31-Oct,Non-Residential,Office,Office (61565.0),61565,,BENT ASSOCIATES LIMITED PARTNERSHIP,"FIRST STREET-US, LLC",64,608583.9,2076488.6,3714,371401.5,,,,,,,,,,2447890.1,2464888.9,39.8,40,6204139.6,6216518.5,100.8,101,156,2.5
